Дата;Открытие;Макс;Мин;Закрытие
03.09.2018;107900;108060;107900;108030
03.09.2018;107960;107960;107960;107960
03.09.2018;108000;108000;108000;108000
03.09.2018;108000;108000;108000;108000
03.09.2018;108080;108080;108080;108080
03.09.2018;108200;108250;108200;108250
03.09.2018;108250;108250;108250;108250
03.09.2018;108250;108250;108250;108250
03.09.2018;108200;108200;108200;108200
03.09.2018;108290;108290;108290;108290
03.09.2018;108050;108050;108030;108030
03.09.2018;108000;108000;107980;107980
03.09.2018;107980;107980;107980;107980
03.09.2018;108000;108000;107900;107900
03.09.2018;107800;107800;107720;107720
03.09.2018;107750;107820;107720;107820
03.09.2018;107910;107910;107910;107910
03.09.2018;108010;108010;108010;108010
03.09.2018;108010;108010;107950;107950
03.09.2018;108000;108000;108000;108000
03.09.2018;108050;108050;108050;108050
03.09.2018;108030;108030;108030;108030
03.09.2018;108030;108050;108030;108050
03.09.2018;108030;108030;108030;108030
03.09.2018;108030;108030;108030;108030
03.09.2018;108220;108220;108220;108220
03.09.2018;108140;108140;108140;108140
03.09.2018;108110;108210;108110;108210
03.09.2018;108220;108250;108220;108250
03.09.2018;107950;108030;107950;108030
03.09.2018;107910;107910;107910;107910
03.09.2018;107780;107810;107780;107810
03.09.2018;107840;107880;107840;107880
03.09.2018;107740;107740;107660;107660
03.09.2018;107650;107650;107650;107650
03.09.2018;107680;107680;107680;107680
03.09.2018;107710;107710;107710;107710
03.09.2018;107630;107640;107530;107530
03.09.2018;107500;107500;107450;107450
03.09.2018;107680;107680;107680;107680
03.09.2018;107770;107770;107770;107770
03.09.2018;107700;107700;107680;107680
03.09.2018;107680;107680;107680;107680
03.09.2018;107680;107680;107680;107680
03.09.2018;107650;107650;107650;107650
03.09.2018;107530;107530;107500;107500
03.09.2018;107500;107500;107500;107500
03.09.2018;107530;107540;107530;107540
03.09.2018;107520;107520;107520;107520
03.09.2018;107470;107470;107450;107450
03.09.2018;107510;107510;107510;107510
03.09.2018;107510;107510;107510;107510
03.09.2018;107500;107500;107500;107500
03.09.2018;107500;107500;107500;107500
03.09.2018;107400;107400;107380;107380
03.09.2018;107370;107370;107370;107370
03.09.2018;107530;107530;107530;107530
03.09.2018;107610;107610;107610;107610
03.09.2018;107580;107580;107580;107580
03.09.2018;107580;107610;107580;107610
03.09.2018;107430;107430;107430;107430
03.09.2018;107470;107470;107470;107470
03.09.2018;107470;107470;107470;107470
03.09.2018;107640;107640;107640;107640
03.09.2018;107640;107640;107640;107640
03.09.2018;107640;107640;107590;107590
03.09.2018;107770;107770;107770;107770
03.09.2018;107660;107660;107650;107650
03.09.2018;107660;107660;107660;107660
03.09.2018;107590;107590;107590;107590
03.09.2018;107640;107650;107640;107650
03.09.2018;107590;107590;107590;107590
03.09.2018;107540;107540;107540;107540
03.09.2018;107640;107650;107640;107650
03.09.2018;107640;107640;107640;107640
03.09.2018;107550;107550;107550;107550
03.09.2018;107600;107670;107600;107670
03.09.2018;107570;107570;107570;107570
03.09.2018;107570;107570;107570;107570
03.09.2018;107550;107550;107550;107550
03.09.2018;107650;107650;107650;107650
03.09.2018;107500;107500;107500;107500
03.09.2018;107480;107480;107480;107480
03.09.2018;107680;107680;107680;107680
03.09.2018;107530;107530;107530;107530
03.09.2018;107530;107530;107530;107530
03.09.2018;107630;107640;107630;107640
03.09.2018;107620;107620;107620;107620
03.09.2018;107650;107650;107650;107650
03.09.2018;107630;107630;107630;107630
03.09.2018;107720;107720;107720;107720
03.09.2018;107700;107700;107700;107700
03.09.2018;107630;107630;107630;107630
03.09.2018;107650;107650;107650;107650
03.09.2018;107660;107660;107660;107660
03.09.2018;107790;107790;107790;107790
03.09.2018;107750;107750;107750;107750
03.09.2018;107750;107750;107750;107750
03.09.2018;107710;107710;107710;107710
03.09.2018;107720;107720;107720;107720
03.09.2018;107660;107660;107600;107600
03.09.2018;107560;107560;107560;107560
03.09.2018;107500;107500;107500;107500
03.09.2018;107470;107470;107470;107470
03.09.2018;107580;107600;107580;107600
03.09.2018;107580;107580;107580;107580
03.09.2018;107450;107450;107380;107380
03.09.2018;107330;107390;107300;107300
03.09.2018;107340;107400;107320;107400
03.09.2018;107310;107310;107300;107300
03.09.2018;107360;107360;107200;107200
03.09.2018;107240;107240;107240;107240
03.09.2018;107350;107350;107350;107350
03.09.2018;107390;107390;107390;107390
03.09.2018;107430;107470;107430;107460
03.09.2018;107310;107310;107310;107310
03.09.2018;107260;107260;107260;107260
03.09.2018;107280;107280;107280;107280
03.09.2018;107430;107430;107430;107430
03.09.2018;107360;107360;107360;107360
03.09.2018;107310;107310;107260;107260
03.09.2018;107400;107400;107400;107400
03.09.2018;107320;107320;107320;107320
03.09.2018;107260;107280;107260;107280
03.09.2018;107300;107300;107300;107300
03.09.2018;107250;107250;107210;107210
03.09.2018;107260;107260;107250;107250
03.09.2018;107450;107530;107430;107530
03.09.2018;107480;107480;107480;107480
03.09.2018;107490;107490;107490;107490
03.09.2018;107530;107530;107530;107530
03.09.2018;107520;107550;107520;107550
03.09.2018;107550;107560;107550;107560
03.09.2018;107530;107530;107530;107530
03.09.2018;107540;107600;107510;107510
03.09.2018;107500;107500;107500;107500
03.09.2018;107460;107460;107410;107410
03.09.2018;107600;107600;107550;107550
03.09.2018;107550;107550;107550;107550
03.09.2018;107580;107580;107580;107580
03.09.2018;107600;107600;107600;107600
03.09.2018;107560;107570;107560;107570
03.09.2018;107680;107690;107680;107690
03.09.2018;107700;107790;107700;107770
03.09.2018;107620;107620;107620;107620
03.09.2018;107610;107610;107610;107610
03.09.2018;107600;107600;107600;107600
03.09.2018;107570;107570;107570;107570
03.09.2018;107560;107560;107560;107560
03.09.2018;107620;107620;107620;107620
03.09.2018;107620;107620;107620;107620
01.10.2018;117740;118290;117650;118160
01.10.2018;118170;118220;118040;118070
01.10.2018;118060;118250;118050;118200
01.10.2018;118210;118280;118160;118280
01.10.2018;118270;118430;118250;118350
01.10.2018;118360;118450;118350;118380
01.10.2018;118380;118410;118310;118330
01.10.2018;118350;118500;118340;118460
01.10.2018;118460;118590;118450;118540
01.10.2018;118530;118570;118450;118480
01.10.2018;118480;118500;118350;118420
01.10.2018;118410;118510;118400;118420
01.10.2018;118420;118420;118340;118400
01.10.2018;118410;118440;118370;118390
01.10.2018;118390;118420;118370;118410
01.10.2018;118410;118470;118380;118400
01.10.2018;118410;118410;118280;118300
01.10.2018;118280;118400;118280;118280
01.10.2018;118270;118290;118190;118270
01.10.2018;118260;118290;118250;118270
01.10.2018;118280;118290;118200;118280
01.10.2018;118280;118330;118260;118310
01.10.2018;118310;118350;118270;118350
01.10.2018;118350;118420;118310;118420
01.10.2018;118410;118430;118350;118400
01.10.2018;118410;118490;118380;118480
01.10.2018;118490;118570;118450;118480
01.10.2018;118490;118530;118450;118470
01.10.2018;118480;118500;118450;118480
01.10.2018;118480;118490;118420;118430
01.10.2018;118420;118470;118400;118430
01.10.2018;118430;118450;118390;118400
01.10.2018;118400;118400;118290;118350
01.10.2018;118350;118410;118340;118400
01.10.2018;118400;118430;118350;118380
01.10.2018;118390;118560;118380;118510
01.10.2018;118530;118620;118440;118460
01.10.2018;118460;118490;118430;118460
01.10.2018;118450;118500;118430;118500
01.10.2018;118500;118550;118470;118470
01.10.2018;118490;118610;118480;118560
01.10.2018;118560;118610;118550;118550
01.10.2018;118570;118660;118570;118660
01.10.2018;118660;118680;118620;118620
01.10.2018;118620;118650;118580;118610
01.10.2018;118610;118620;118470;118500
01.10.2018;118500;118510;118400;118450
01.10.2018;118440;118530;118430;118520
01.10.2018;118520;118520;118360;118410
01.10.2018;118420;118430;118250;118270
01.10.2018;118270;118390;118270;118380
01.10.2018;118380;118430;118360;118400
01.10.2018;118410;118440;118390;118410
01.10.2018;118400;118400;118310;118330
01.10.2018;118330;118360;118310;118360
01.10.2018;118360;118460;118350;118430
01.10.2018;118420;118440;118390;118390
01.10.2018;118410;118430;118380;118420
01.10.2018;118390;118450;118390;118420
01.10.2018;118420;118550;118420;118530
01.10.2018;118540;118590;118450;118490
01.10.2018;118490;118520;118460;118500
01.10.2018;118510;118590;118490;118500
01.10.2018;118500;118520;118470;118490
01.10.2018;118490;118530;118460;118490
01.10.2018;118500;118630;118500;118510
01.10.2018;118520;118560;118470;118500
01.10.2018;118500;118520;118470;118500
01.10.2018;118490;118510;118460;118480
01.10.2018;118480;118530;118450;118530
01.10.2018;118530;118590;118520;118550
01.10.2018;118570;118600;118530;118550
01.10.2018;118560;118590;118520;118570
01.10.2018;118570;118750;118570;118730
01.10.2018;118740;118800;118720;118730
01.10.2018;118740;118800;118690;118690
01.10.2018;118690;118700;118660;118690
01.10.2018;118680;118690;118650;118660
01.10.2018;118670;118670;118630;118630
01.10.2018;118630;118640;118590;118640
01.10.2018;118650;118710;118640;118670
01.10.2018;118680;118690;118590;118600
01.10.2018;118600;118650;118590;118640
01.10.2018;118630;118650;118610;118620
01.10.2018;118620;118650;118570;118580
01.10.2018;118570;118580;118510;118570
01.10.2018;118570;118580;118550;118550
01.10.2018;118570;118630;118560;118600
01.10.2018;118620;118640;118570;118570
01.10.2018;118570;118610;118570;118600
01.10.2018;118610;118640;118590;118640
01.10.2018;118630;118640;118610;118640
01.10.2018;118620;118640;118610;118620
01.10.2018;118620;118630;118580;118580
01.10.2018;118590;118630;118570;118610
01.10.2018;118620;118630;118560;118560
01.10.2018;118570;118640;118560;118610
01.10.2018;118610;118650;118420;118450
01.10.2018;118450;118490;118430;118460
01.10.2018;118460;118460;118330;118380
01.10.2018;118380;118430;118380;118410
01.10.2018;118420;118430;118390;118420
01.10.2018;118410;118430;118400;118400
01.10.2018;118410;118430;118380;118390
01.10.2018;118390;118450;118360;118450
01.10.2018;118450;118450;118400;118400
01.10.2018;118420;118450;118410;118440
01.10.2018;118430;118450;118420;118420
01.10.2018;118430;118440;118360;118360
01.10.2018;118380;118380;118300;118310
01.10.2018;118320;118320;118230;118290
01.10.2018;118290;118300;118250;118250
01.10.2018;118250;118270;118220;118250
01.10.2018;118240;118280;118240;118280
01.10.2018;118280;118300;118240;118280
01.10.2018;118280;118350;118280;118310
01.10.2018;118310;118370;118310;118360
01.10.2018;118360;118390;118360;118390
01.10.2018;118390;118410;118370;118400
01.10.2018;118400;118450;118380;118410
01.10.2018;118410;118450;118410;118430
01.10.2018;118430;118430;118380;118400
01.10.2018;118400;118400;118290;118300
01.10.2018;118300;118330;118290;118310
01.10.2018;118310;118320;118250;118280
01.10.2018;118290;118310;118140;118190
01.10.2018;118200;118200;118080;118080
01.10.2018;118090;118090;117970;118080
01.10.2018;118080;118100;118030;118030
01.10.2018;118030;118090;118020;118060
01.10.2018;118070;118070;117860;117880
01.10.2018;117870;117880;117680;117800
01.10.2018;117790;117870;117780;117850
01.10.2018;117850;117890;117800;117860
01.10.2018;117850;117900;117850;117880
01.10.2018;117870;117880;117830;117850
01.10.2018;117840;117880;117830;117860
01.10.2018;117870;117930;117860;117910
01.10.2018;117900;117940;117880;117880
01.10.2018;117880;117900;117840;117870
01.10.2018;117880;117960;117850;117950
01.10.2018;117960;117970;117910;117970
01.10.2018;117970;118040;117940;118040
01.10.2018;118030;118060;118000;118010
01.10.2018;118000;118030;117980;118030
01.10.2018;118020;118030;117960;118010
01.10.2018;117990;118100;117990;118090
01.10.2018;118090;118170;118080;118120
01.10.2018;118110;118180;118110;118160
01.10.2018;118150;118190;118140;118140
01.10.2018;118140;118150;118060;118070
01.10.2018;118080;118170;118070;118110
01.10.2018;118100;118150;118060;118090
01.10.2018;118090;118180;118070;118170
01.10.2018;118160;118250;118150;118210
01.10.2018;118220;118230;118180;118200
01.10.2018;118210;118220;118140;118140
01.10.2018;118140;118190;118110;118190
01.10.2018;118190;118190;118140;118180
01.10.2018;118180;118210;118150;118160
01.10.2018;118160;118220;118160;118200
01.10.2018;118200;118220;118170;118200
01.10.2018;118200;118210;118170;118210
01.10.2018;118210;118210;118100;118110
01.10.2018;118100;118160;118080;118150
01.10.2018;118150;118240;118150;118170
01.10.2018;118170;118200;118110;118130
01.10.2018;118130;118130;118070;118120
01.10.2018;118120;118150;118040;118060
01.10.2018;118060;118110;118050;118080
01.10.2018;118070;118110;118070;118100
01.10.2018;118090;118120;118070;118110
01.10.2018;118110;118150;118110;118120
01.10.2018;118130;118160;118110;118110
01.10.2018;118100;118110;118050;118080
01.10.2018;118070;118100;118050;118070
01.10.2018;118070;118090;118050;118080
01.10.2018;118070;118100;118050;118100
01.10.2018;118100;118140;118090;118100
01.10.2018;118090;118140;118090;118090
01.10.2018;118080;118090;118050;118080
01.10.2018;118070;118070;117980;118050
01.10.2018;118050;118050;117990;117990
01.10.2018;117990;118050;117950;117990
01.10.2018;117990;118020;117980;117980
01.10.2018;117990;118020;117970;117990
01.10.2018;118000;118000;117930;117960
01.10.2018;117950;117980;117920;117960
01.10.2018;117960;117970;117920;117940
01.10.2018;117940;117970;117920;117960
01.10.2018;117950;118020;117940;118000
01.10.2018;117990;118050;117980;118020
01.10.2018;118030;118060;118020;118050
01.10.2018;118040;118100;118040;118100
01.10.2018;118110;118110;118080;118110
01.10.2018;118110;118120;118050;118080
01.10.2018;118080;118090;118050;118090
01.10.2018;118090;118120;118060;118110
01.10.2018;118110;118190;118110;118140
01.10.2018;118140;118150;118020;118070
01.10.2018;118060;118070;118000;118000
01.10.2018;118000;118070;118000;118030
01.10.2018;118030;118040;117980;118010
01.10.2018;118010;118040;118000;118040
01.10.2018;118040;118090;118010;118080
01.10.2018;118080;118100;118030;118060
01.10.2018;118060;118130;118050;118080
01.10.2018;118070;118080;118050;118060
01.10.2018;118060;118070;118050;118060
01.10.2018;118060;118070;118040;118050
01.10.2018;118040;118080;118010;118070
01.10.2018;118070;118100;118060;118070
01.10.2018;118060;118090;118040;118080
01.10.2018;118070;118150;118070;118150
01.10.2018;118150;118230;118120;118150
01.10.2018;118140;118150;118070;118110
01.10.2018;118100;118190;118100;118180
01.10.2018;118180;118200;118160;118190
01.10.2018;118180;118190;118130;118150
01.10.2018;118150;118180;118110;118180
01.10.2018;118180;118180;118140;118170
01.10.2018;118160;118170;118120;118140
01.10.2018;118140;118180;118100;118130
01.10.2018;118130;118190;118120;118160
01.10.2018;118160;118170;118130;118170
01.10.2018;118160;118170;118130;118140
01.10.2018;118140;118150;118110;118120
01.10.2018;118140;118190;118120;118180
01.10.2018;118180;118180;118150;118150
01.10.2018;118170;118280;118170;118230
01.10.2018;118230;118280;118210;118240
01.10.2018;118230;118270;118220;118250
01.10.2018;118240;118270;118220;118250
01.10.2018;118240;118240;118200;118200
01.10.2018;118200;118230;118190;118200
01.10.2018;118200;118220;118190;118190
01.10.2018;118200;118220;118190;118220
01.10.2018;118230;118230;118190;118230
01.10.2018;118230;118250;118210;118220
01.10.2018;118230;118280;118230;118280
01.10.2018;118260;118280;118210;118240
01.10.2018;118240;118250;118210;118220
01.10.2018;118240;118240;118190;118220
01.10.2018;118230;118260;118230;118250
01.10.2018;118260;118260;118220;118250
